City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Mamallapuram,IN,86.0,broken clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
332,Mon,IN,79.21,overcast clouds,26.75,95.1,NCK Cottage
338,Zachary,US,80.01,clear sky,30.65,-91.16,Holiday Inn Express & Suites Baton Rouge North
340,Dwarka,IN,83.3,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
342,Myitkyina,MM,84.07,moderate rain,25.38,97.4,Shwe Phyu Hotel
343,Narsipatnam,IN,86.0,mist,17.67,82.62,Lodge Vooda Residency AC
344,Marsaxlokk,MT,77.0,scattered clouds,35.84,14.54,Water's Edge
347,Hobyo,SO,77.97,overcast clouds,5.35,48.53,Osmani Hotel
349,Alexandria,EG,78.8,scattered clouds,31.22,29.96,Royal Crown Hotel
352,Sakakah,SA,80.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
354,Lagos,NG,77.0,few clouds,6.58,3.75,
357,San Andres,CO,80.6,broken clouds,12.58,-81.7,Hotel Arena Blanca
367,Jacqueville,CI,77.0,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
369,Sao Filipe,CV,80.26,light rain,14.9,-24.5,Tortuga B&B
372,Pochutla,MX,75.99,overcast clouds,15.74,-96.47,Hotel Posada San Jose
373,Tulum,MX,82.0,scattered clouds,20.22,-87.47,Kin Ha
374,Ushibuka,JP,85.33,clear sky,32.19,130.02,Hotei
376,Alice Springs,AU,78.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
377,Meulaboh,ID,85.24,broken clouds,4.14,96.13,Kost Pria
378,Westport,US,75.2,clear sky,41.14,-73.36,The Westport Inn
381,Whyalla,AU,75.2,clear sky,-33.03,137.58,Foreshore Motor Inn
382,Takanabe,JP,87.8,scattered clouds,32.13,131.5,Hotel AZ Miyazaki Takanabe
386,Araouane,ML,87.15,overcast clouds,18.9,-3.53,
391,Faanui,PF,76.51,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
396,Rach Gia,VN,87.55,few clouds,10.02,105.08,Nhà Hàng Hòa Giang
400,Yeppoon,AU,75.2,broken clouds,-23.13,150.73,Villa Mar Colina
402,Cockburn Town,TC,82.67,clear sky,21.46,-71.14,Osprey Beach Hotel
403,Weihai,CN,80.01,few clouds,37.5,122.11,Beihai Travel Resort
406,Mlonggo,ID,86.0,few clouds,-6.53,110.7,Asia Metal Art
410,Kalmunai,LK,83.95,few clouds,7.42,81.82,VS Villa
414,Mountain Home,US,80.6,clear sky,43.13,-115.69,Mountain Home Inn
417,Sibolga,ID,85.28,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
419,Humberto De Campos,BR,77.05,few clouds,-2.6,-43.46,Pousada do Cabeça
426,Nago,JP,89.6,scattered clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
427,Acapulco,MX,82.4,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
429,Kaifeng,CN,87.8,clear sky,34.79,114.35,Pullman Kaifeng Jianye
432,Mackay,AU,75.2,scattered clouds,-21.15,149.2,International Lodge Motel
438,Omidiyeh,IR,78.8,clear sky,30.76,49.7,کمپ خالدی
439,Ciudad Valles,MX,78.15,scattered clouds,21.98,-99.02,Hotel Mision Ciudad Valles
442,Ugoofaaru,MV,83.57,clear sky,5.67,73.0,Ungoofaaru Inn
444,Vinukonda,IN,85.93,overcast clouds,16.05,79.75,VLS Residency
446,Santa Marta,CO,80.01,clear sky,11.24,-74.2,Hotel La Ballena Azul
449,Vila Do Maio,CV,78.8,scattered clouds,15.13,-23.22,Residence 'I Delfini'
457,Ravar,IR,80.15,clear sky,31.27,56.81,computertik
458,San Francisco Del Mar,MX,81.63,overcast clouds,16.23,-94.65,
462,Bani,DO,84.0,few clouds,18.28,-70.33,Hospedaje Henriquez
465,El Tigre,VE,75.31,clear sky,8.89,-64.25,Hotel Santa Cruz
